name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Se Eu Quiser Falar Com Deus,Gilberto Gil,0.658,0.259,11,-13.141,0,0.0705,0.694,5.87e-05,0.975,0.306,110.376,256213,4
Saudade De Bahia,Antônio Carlos Jobim,0.742,0.399,2,-12.646,1,0.0346,0.217,1.88e-06,0.107,0.693,125.039,191867,4
"Canta Canta, Minha Gente",Martinho Da Vila,0.851,0.73,2,-11.048,1,0.347,0.453,6.34e-05,0.124,0.905,93.698,152267,4
Mulher Eu Sei,Chico César,0.705,0.0502,4,-18.115,1,0.0471,0.879,4.05e-05,0.386,0.524,106.802,186227,4
Rosa Morena,Kurt Elling,0.651,0.119,6,-19.807,1,0.038,0.916,0.000343,0.104,0.402,120.941,273680,4
Desafinado,Stan Getz,0.466,0.146,3,-17.5,1,0.0649,0.931,0.154,0.107,0.423,142.885,249387,4
Trem Das Onze,Nossa Alma Canta,0.681,0.627,4,-10.193,0,0.0347,0.658,0.0467,0.146,0.402,99.148,248173,4
Madalena,Maria Gasolina,0.675,0.207,11,-13.82,0,0.0545,0.963,0.414,0.112,0.684,93.531,145187,4
O Meu Amor É Glòria,Sílvia Pérez Cruz,0.504,0.733,7,-10.72,1,0.389,0.696,5.61e-05,0.673,0.886,96.565,309760,4
Brigas Nunca Mais,Paula Morelenbaum,0.694,0.546,10,-11.452,1,0.04,0.398,0.076,0.153,0.641,170.032,204027,4
Previsao,Bossacucanova,0.674,0.864,1,-7.971,1,0.0382,0.641,0.358,0.139,0.536,99.995,181133,4
The Girl From Ipanema,Stan Getz,0.641,0.14,8,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318,317987,4
Parece Mentira,Katia B,0.666,0.583,0,-10.003,1,0.0265,0.225,0.00863,0.145,0.487,107.99,217267,4
Blue Bossa - Remastered,Joe Henderson,0.48,0.433,5,-9.909,0,0.0532,0.608,0.694,0.108,0.897,82.315,271147,4
Aqua De Coco,Marcos Valle,0.755,0.732,10,-9.6,0,0.0658,0.487,0.00091,0.454,0.816,88.028,287560,4
Samba de Verão,Marcos Valle,0.697,0.405,0,-14.587,1,0.0317,0.813,0.000157,0.328,0.845,114.833,150813,4
Mas Que Nada,Rio Combo,0.618,0.539,5,-12.689,0,0.0312,0.156,0.00214,0.187,0.916,88.646,178880,4
Nova Bossa Nova,Marcos Valle,0.598,0.739,8,-10.602,1,0.0452,0.523,0.725,0.146,0.881,95.018,246400,4
Não Sei,Sílvia Pérez Cruz,0.382,0.0866,1,-14.067,0,0.0396,0.978,0.00197,0.234,0.157,111.042,282947,3
A Força Que Nunca Seca (feat. Maria Bethânia),Chico César,0.563,0.112,2,-11.336,1,0.0415,0.89,0.0,0.333,0.312,108.372,218933,4
Aquarela Do Brasil,Carlos Barbosa-Lima,0.423,0.252,4,-19.264,0,0.0467,0.963,0.901,0.105,0.438,81.025,207160,4
Brigas Nunca Mais,Brazilian Jazz,0.529,0.276,0,-14.859,1,0.0457,0.972,0.885,0.133,0.28,96.134,146800,4
Águas De Março,Antônio Carlos Jobim,0.639,0.552,3,-9.285,1,0.127,0.832,0.0,0.122,0.474,143.241,212520,4
